PWO_J33_before	
Wavelength (nm)	%T
648.5	70.69586182
648	70.69309235
647.5	70.67861938
647	70.6544342
646.5	70.63780975
646	70.6243515
645.5	70.59981537
645	70.56160736
644.5	70.55357361
644	70.49923706
643.5	70.51698303
643	70.49701691
642.5	70.47032928
642	70.44013214
641.5	70.44127655
641	70.40818024
640.5	70.38420868
640	70.35212708
639.5	70.32627869
639	70.30696869
638.5	70.26355743
638	70.23207855
637.5	70.24128723
637	70.20915985
636.5	70.19262695
636	70.1355896
635.5	70.13057709
635	70.10347748
634.5	70.08810425
634	70.05379486
633.5	70.05284119
633	70.0243988
632.5	70.00534058
632	69.95461273
631.5	69.93081665
631	69.9161377
630.5	69.88161469
630	69.86701202
629.5	69.85374451
629	69.82645416
628.5	69.81438446
628	69.77063751
627.5	69.75473785
627	69.744133
626.5	69.73213196
626	69.70108032
625.5	69.69046783
625	69.65093994
624.5	69.62861633
624	69.61355591
623.5	69.60982513
623	69.57991791
622.5	69.56913757
622	69.54358673
621.5	69.5582428
621	69.52066803
620.5	69.50621033
620	69.49714661
619.5	69.4868927
619	69.45833588
618.5	69.46681213
618	69.43521118
617.5	69.43048096
617	69.41728973
616.5	69.39745331
616	69.37381744
615.5	69.36862946
615	69.36685944
614.5	69.35038757
614	69.34892273
613.5	69.3370285
613	69.29790497
612.5	69.30303192
612	69.29730225
611.5	69.28930664
611	69.28440857
610.5	69.24215698
610	69.23519897
609.5	69.20809174
609	69.20121002
608.5	69.18818665
608	69.17401886
607.5	69.17401886
607	69.16938782
606.5	69.11551666
606	69.08825684
605.5	69.09034729
605	69.07165527
604.5	69.02571869
604	69.01422119
603.5	68.97900391
603	68.94094849
602.5	68.93690491
602	68.89385223
601.5	68.85218811
601	68.82104492
600.5	68.77990723
600	68.77523804
599.5	68.7443924
599	68.690979
598.5	68.6518631
598	68.63082886
597.5	68.602005
597	68.56761932
596.5	68.5182724
596	68.45818329
595.5	68.41973877
595	68.39055634
594.5	68.33229828
594	68.31370544
593.5	68.24028015
593	68.20637512
592.5	68.1927948
592	68.09101105
591.5	68.05854797
591	68.01178741
590.5	67.96707153
590	67.93209076
589.5	67.86023712
589	67.81504822
588.5	67.81142426
588	67.74079895
587.5	67.70549011
587	67.64432526
586.5	67.60597992
586	67.55065918
585.5	67.534729
585	67.46312714
584.5	67.38449097
584	67.37644196
583.5	67.41011047
583	67.332901
582.5	67.28418732
582	67.2305603
581.5	67.20492554
581	67.15865326
580.5	67.11667633
580	67.0532074
579.5	67.06866455
579	66.99784851
578.5	66.95762634
578	66.91850281
577.5	66.90221405
577	66.89215088
576.5	66.83406067
576	66.78901672
575.5	66.73493958
575	66.71686554
574.5	66.68457794
574	66.67617798
573.5	66.65223694
573	66.58559418
572.5	66.53266907
572	66.518013
571.5	66.50617981
571	66.47852325
570.5	66.47330475
570	66.42624664
569.5	66.42740631
569	66.3972168
568.5	66.35041809
568	66.34265137
567.5	66.3216095
567	66.3034668
566.5	66.27703857
566	66.24655914
565.5	66.21955872
565	66.21884918
564.5	66.2013092
564	66.18372345
563.5	66.16043091
563	66.15378571
562.5	66.14666748
562	66.12065125
561.5	66.1018219
561	66.05318451
560.5	66.04418182
560	66.03474426
559.5	66.01793671
559	65.96363068
558.5	65.9597702
558	65.94947815
557.5	65.93449402
557	65.90153503
556.5	65.8814621
556	65.83815002
555.5	65.83577728
555	65.82078552
554.5	65.79732513
554	65.75921631
