nm; E1
325.000000; 0.000600
324.000000; 0.001200
323.000000; 0.001700
322.000000; 0.003800
321.000000; -0.000200
320.000000; 0.000100
319.000000; 0.000200
318.000000; 0.004400
317.000000; 0.001200
316.000000; 0.001100
315.000000; 0.002000
314.000000; 0.003800
313.000000; 0.000900
312.000000; 0.001100
311.000000; 0.002500
310.000000; 0.003300
309.000000; 0.000100
308.000000; 0.001300
307.000000; 0.004000
306.000000; 0.002400
305.000000; 0.000600
304.000000; 0.002200
303.000000; 0.004900
302.000000; 0.001600
301.000000; 0.001400
300.000000; 0.002200
299.000000; 0.005400
298.000000; 0.001200
297.000000; 0.001400
296.000000; 0.002600
295.000000; 0.003700
294.000000; 0.000200
293.000000; 0.002200
292.000000; 0.003600
291.000000; 0.003400
290.000000; 0.001100
289.000000; 0.002300
288.000000; 0.004400
287.000000; 0.002800
286.000000; 0.001800
285.000000; 0.002100
284.000000; 0.003800
283.000000; 0.001600
282.000000; 0.001300
281.000000; 0.002600
280.000000; 0.004400
279.000000; 0.001100
278.000000; 0.002300
277.000000; 0.002800
276.000000; 0.003900
275.000000; 0.000500
274.000000; 0.001800
273.000000; 0.003400
272.000000; 0.003100
271.000000; 0.001500
270.000000; 0.002100
269.000000; 0.004200
268.000000; 0.002000
267.000000; 0.001800
266.000000; 0.002400
265.000000; 0.003900
264.000000; 0.001800
263.000000; 0.002500
262.000000; 0.003300
261.000000; 0.004000
260.000000; 0.001400
259.000000; 0.002100
258.000000; 0.003300
257.000000; 0.002800
256.000000; 0.001000
255.000000; 0.002000
254.000000; 0.003900
253.000000; 0.002100
252.000000; 0.001100
251.000000; 0.003000
250.000000; 0.004100
