nm, %T_slow_20171215, %T_fast_20171215, E1_fast_20171215, E1_empty_fast_20171215,result_fast_20171215, E1_slow_20171215, E1_empty_slow_20171215,result_slow_20171215, %T_fast_20171218, %T_slow_20171218, E1_fast_20171218, E1_empty_fast_20171218,result_fast_20171218
734,72.584068,71.987612,2.3903,3.3103,72.20795698,2.4073,3.348,71.90262843,72.307726,72.24567,2.4767,3.4425,71.9448075527
733,72.583402,71.895708,2.4305,3.3647,72.23526615,2.4446,3.4043,71.8091825,72.226456,72.181013,2.5151,3.4981,71.8990309025
732,72.558054,71.874784,2.4664,3.4187,72.14438237,2.484,3.4584,71.82512144,72.137365,72.182237,2.5568,3.5535,71.951597017
731,72.583761,71.913857,2.504,3.4726,72.10735472,2.5236,3.514,71.81559476,72.194409,72.191707,2.6004,3.6097,72.0392276366
730,72.602848,71.885824,2.546,3.5289,72.147128,2.5641,3.5712,71.79939516,72.294216,72.211632,2.6389,3.6678,71.947761601
729,72.617016,71.809057,2.5874,3.5885,72.10254981,2.6056,3.6278,71.8231435,72.272183,72.162804,2.679,3.7254,71.9117410211
728,72.577429,71.71769,2.627,3.6473,72.02588216,2.6474,3.6857,71.82896058,72.256041,72.109619,2.7248,3.7846,71.9970406384
727,72.506553,71.709198,2.6676,3.7035,72.0291616,2.6896,3.7438,71.84144452,72.267652,72.092228,2.7682,3.8442,72.0097809687
726,72.478918,71.821358,2.7096,3.7647,71.97386246,2.7316,3.8052,71.78597708,72.249734,72.104938,2.8088,3.9004,72.0131268588
725,72.560734,71.838587,2.7539,3.8268,71.96352043,2.7741,3.8662,71.75262532,72.141139,72.172084,2.8479,3.9632,71.8585991118
724,72.622831,71.809083,2.7971,3.8846,72.00483962,2.8182,3.9263,71.77750045,72.096965,72.180062,2.8942,4.0297,71.8217237015
723,72.506128,71.759432,2.8416,3.9441,72.0468548,2.863,3.9907,71.74179968,72.138663,72.151591,2.9399,4.0924,71.8380412472
722,72.446028,71.68465,2.8886,4.0062,72.10323998,2.9092,4.0529,71.78070024,72.147152,72.07019,2.9851,4.1553,71.8383750872
721,72.476498,71.626233,2.9306,4.0704,71.99783805,2.9555,4.1154,71.81561938,72.106384,72.133005,3.0311,4.2217,71.7980908165
720,72.484938,71.682084,2.9748,4.1363,71.91934821,3.0005,4.179,71.79947356,72.089776,72.167203,3.0786,4.2853,71.8409446246
719,72.481081,71.733612,3.023,4.1992,71.98990284,3.044,4.2428,71.74507401,72.171633,72.074618,3.1235,4.3477,71.8425834349
718,72.42577,71.713827,3.0687,4.2647,71.95582339,3.0911,4.3101,71.71759356,72.215216,72.044385,3.1683,4.4163,71.7410502004
717,72.438652,71.68353,3.1166,4.3322,71.94035363,3.1408,4.3766,71.76346936,72.188988,72.046941,3.2206,4.4885,71.7522557647
716,72.450826,71.719233,3.1641,4.3965,71.9686114,3.1891,4.4449,71.74739589,72.091144,72.036645,3.274,4.5553,71.872324545
715,72.438192,71.772352,3.2136,4.4638,71.99247278,3.2362,4.5134,71.70204281,71.994648,71.973125,3.3222,4.6251,71.8297982746
714,72.475174,71.712876,3.2639,4.5374,71.93326575,3.2845,4.5823,71.67797831,72.031475,72.000646,3.3706,4.6947,71.7958549002
713,72.414914,71.61923,3.3123,4.6053,71.92365318,3.3356,4.6514,71.7117427,72.023692,71.998985,3.4221,4.7671,71.7857817122
712,72.362905,71.579213,3.36,4.6712,71.93012502,3.3871,4.7209,71.74691266,72.024409,71.990853,3.4731,4.8405,71.7508521847
711,72.380324,71.605306,3.41,4.7419,71.91210274,3.4385,4.793,71.74003755,71.994709,72.011936,3.5212,4.9108,71.7031848171
710,72.331097,71.604251,3.4612,4.8149,71.88518972,3.4882,4.8652,71.69694977,71.976014,71.99625,3.5718,4.9848,71.653827636
709,72.307008,71.672823,3.5118,4.8875,71.85268542,3.5393,4.9377,71.67912186,72.027008,72.000952,3.6254,5.0576,71.6822208162
708,72.368641,71.612425,3.5647,4.961,71.85446483,3.5918,5.0117,71.66829619,72.042696,71.982602,3.6812,5.1287,71.7764735703
707,72.431157,71.500836,3.6172,5.0345,71.8482471,3.6423,5.0872,71.59734235,72.067022,71.964911,3.733,5.2044,71.727768811
706,72.380468,71.505663,3.6681,5.1089,71.79823445,3.6961,5.1608,71.61874128,72.046493,71.931149,3.787,5.2808,71.7126193001
705,72.370982,71.393681,3.7202,5.1802,71.81576001,3.7489,5.2338,71.62864458,72.084879,71.924448,3.848,5.3537,71.8755253376
704,72.317255,71.536622,3.7738,5.2534,71.8353828,3.8009,5.3073,71.61645281,71.995131,71.929103,3.8994,5.4328,71.7751435724
703,72.289632,71.592779,3.8297,5.3285,71.87200901,3.8547,5.3814,71.63005909,71.86388,71.899707,3.9513,5.5101,71.7101323025
702,72.347672,71.507295,3.8788,5.4081,71.72204656,3.9069,5.4569,71.59559457,71.881943,71.918062,4.0072,5.5836,71.7673185758
701,72.297404,71.471325,3.9325,5.4806,71.75309273,3.9609,5.5339,71.57520013,71.844184,71.93131,4.0647,5.6593,71.8233703815
700,72.230754,71.477878,3.9898,5.5539,71.83780767,4.0154,5.6115,71.55662479,71.874881,71.865676,4.1212,5.7361,71.8467251268
699,72.299448,71.527605,4.0444,5.6291,71.84807518,4.0692,5.6871,71.55140581,71.933347,71.854304,4.1715,5.8175,71.7060593038
698,72.277906,71.499602,4.0942,5.7093,71.71106791,4.122,5.7614,71.54511056,71.824721,71.888449,4.2276,5.8999,71.6554517873
697,72.252313,71.451684,4.1439,5.782,71.66897267,4.1772,5.8373,71.56048173,71.821526,71.87108,4.2832,5.9745,71.6913549251
696,72.212894,71.39807,4.202,5.8524,71.79960358,4.2307,5.9135,71.54307939,71.930723,71.852451,4.3373,6.0503,71.6873543461
695,72.189608,71.417662,4.2545,5.9283,71.76593627,4.284,5.9895,71.52516905,71.933524,71.806729,4.3911,6.132,71.6095890411
694,72.232566,71.452428,4.3033,6.0071,71.63689634,4.3397,6.0642,71.56261337,71.949191,71.873732,4.4459,6.2088,71.6064295838
693,72.260565,71.399248,4.3535,6.0773,71.63543021,4.3918,6.1374,71.55798872,71.8765,71.827621,4.4996,6.2845,71.5983769592
692,72.222,71.427939,4.4069,6.1509,71.64642573,4.4404,6.2096,71.5086318,71.856822,71.78802,4.5514,6.3599,71.5640183022
691,72.139713,71.46242,4.4572,6.224,71.61311054,4.4909,6.2811,71.49862285,71.875133,71.775816,4.6053,6.4337,71.5808943532
690,72.080365,71.270381,4.6038,6.422,71.68794768,4.6354,6.4844,71.48541114,71.698394,71.743968,4.7418,6.6288,71.5333091962
689,72.120198,71.195782,4.7228,6.5871,71.6977122,4.7528,6.649,71.48142578,71.625315,71.691375,4.858,6.7891,71.5558763312
688,72.130006,71.232021,4.7814,6.6797,71.58105903,4.8191,6.7408,71.49151436,71.634623,71.734187,4.9292,6.8885,71.5569427306
687,72.144022,71.174772,4.8499,6.7683,71.65610271,4.8855,6.8346,71.48187165,71.643261,71.731957,4.9978,6.9795,71.6068486281
686,72.116139,71.081171,4.9202,6.864,71.68123543,4.9545,6.9298,71.49556986,71.68436,71.677936,5.0706,7.0793,71.6257257073
685,72.039494,71.149511,4.9882,6.9644,71.62426052,5.0244,7.0316,71.45457648,71.702187,71.679461,5.1387,7.1832,71.5377547611
684,72.035739,71.131232,5.05,7.062,71.5094874,5.0914,7.127,71.43819279,71.608522,71.710789,5.2076,7.2783,71.5496750615
683,72.043376,71.061417,5.1203,7.1582,71.53055237,5.1565,7.2259,71.36135291,71.502058,71.686337,5.2763,7.376,71.53335141
682,72.00972,71.101277,5.1907,7.2605,71.49232147,5.2287,7.3257,71.37474917,71.497804,71.674646,5.3489,7.4767,71.5409204596
681,71.992612,71.132708,5.266,7.3545,71.60242029,5.2995,7.4244,71.37950541,71.629895,71.64829,5.4186,7.5824,71.4628613632
680,72.035852,71.076064,5.3356,7.4522,71.59764902,5.3702,7.5264,71.35150935,71.621551,71.603871,5.4896,7.6855,71.4280137922
679,72.01578,71.054155,5.4063,7.555,71.5592323,5.4412,7.6283,71.32912969,71.537533,71.604784,5.5622,7.7837,71.4595886275
678,71.991939,71.057563,5.4777,7.6617,71.49457692,5.5143,7.73,71.33635188,71.509136,71.642809,5.6363,7.8862,71.4704166772
677,71.963078,71.078152,5.5481,7.7639,71.46021973,5.588,7.8292,71.3738313,71.482668,71.658799,5.7124,7.9946,71.4532309309
